a b c h
0.0 0.30 0.38 1.458
0.0 0.61 0.19 1.458
0.0 0.92 0.00 1.458
0.01 0.00 0.56 1.458
0.01 0.31 0.37 1.458
0.01 0.62 0.18 1.458
0.02 0.01 0.55 1.458
0.02 0.32 0.36 1.458
0.02 0.63 0.17 1.458
0.03 0.02 0.54 1.458
0.03 0.33 0.35 1.458
0.03 0.64 0.16 1.458
0.04 0.03 0.53 1.458
0.04 0.34 0.34 1.458
0.04 0.65 0.15 1.458
0.05 0.04 0.52 1.458
0.05 0.35 0.33 1.458
0.05 0.66 0.14 1.458
0.06 0.05 0.51 1.458
0.06 0.36 0.32 1.458
0.06 0.67 0.13 1.458
0.07 0.06 0.50 1.458
0.07 0.37 0.31 1.458
0.07 0.68 0.12 1.458
0.08 0.07 0.49 1.458
0.08 0.38 0.30 1.458
0.08 0.69 0.11 1.458
0.09 0.08 0.48 1.458
0.09 0.39 0.29 1.458
0.09 0.70 0.10 1.458
0.1 0.09 0.47 1.458
0.1 0.40 0.28 1.458
0.1 0.71 0.09 1.458
0.11 0.10 0.46 1.458
0.11 0.41 0.27 1.458
0.11 0.72 0.08 1.458
0.12 0.11 0.45 1.458
0.12 0.42 0.26 1.458
0.12 0.73 0.07 1.458
0.13 0.12 0.44 1.458
0.13 0.43 0.25 1.458
0.13 0.74 0.06 1.458
0.14 0.00 0.51 1.458
0.14 0.13 0.43 1.458
0.14 0.44 0.24 1.458
0.14 0.75 0.05 1.458
0.15 0.01 0.50 1.458
0.15 0.14 0.42 1.458
0.15 0.45 0.23 1.458
0.15 0.76 0.04 1.458
0.16 0.02 0.49 1.458
0.16 0.15 0.41 1.458
0.16 0.46 0.22 1.458
0.16 0.77 0.03 1.458
0.17 0.03 0.48 1.458
0.17 0.16 0.40 1.458
0.17 0.47 0.21 1.458
0.17 0.78 0.02 1.458
0.18 0.04 0.47 1.458
0.18 0.17 0.39 1.458
0.18 0.48 0.20 1.458
0.18 0.79 0.01 1.458
0.19 0.05 0.46 1.458
0.19 0.18 0.38 1.458
0.19 0.49 0.19 1.458
0.19 0.80 0.00 1.458
0.2 0.06 0.45 1.458
0.2 0.19 0.37 1.458
0.2 0.50 0.18 1.458
0.21 0.07 0.44 1.458
0.21 0.20 0.36 1.458
0.21 0.51 0.17 1.458
0.22 0.08 0.43 1.458
0.22 0.21 0.35 1.458
0.22 0.52 0.16 1.458
0.23 0.09 0.42 1.458
0.23 0.22 0.34 1.458
0.23 0.53 0.15 1.458
0.24 0.10 0.41 1.458
0.24 0.23 0.33 1.458
0.24 0.54 0.14 1.458
0.25 0.11 0.40 1.458
0.25 0.24 0.32 1.458
0.25 0.55 0.13 1.458
0.26 0.12 0.39 1.458
0.26 0.25 0.31 1.458
0.26 0.56 0.12 1.458
0.27 0.13 0.38 1.458
0.27 0.26 0.30 1.458
0.27 0.57 0.11 1.458
0.28 0.14 0.37 1.458
0.28 0.27 0.29 1.458
